iter	Passed	Remaining
0	0	626
1	1	590
2	1	562
3	2	541
4	2	541
5	3	536
6	3	529
7	4	527
8	4	525
9	5	525
10	5	523
11	6	519
12	6	516
13	7	513
14	7	509
15	8	508
16	8	506
17	9	505
18	9	504
19	10	503
20	10	504
21	11	504
22	11	502
23	12	501
24	12	500
25	13	499
26	13	499
27	14	498
28	14	497
29	15	496
30	15	496
31	16	496
32	16	495
33	17	493
34	17	492
35	18	491
36	18	490
37	19	489
38	19	489
39	20	488
40	20	488
41	21	487
42	21	488
43	22	487
44	22	486
45	23	486
46	23	486
47	24	485
48	24	485
49	25	484
50	26	484
51	26	483
52	27	482
53	27	481
54	27	481
55	28	480
56	29	479
57	29	479
58	30	479
59	30	479
60	31	478
61	31	478
62	32	477
63	32	476
64	33	475
65	33	474
66	34	474
67	34	474
68	35	475
69	35	474
70	36	474
71	36	473
72	37	473
73	37	472
74	38	472
75	38	471
76	39	471
77	39	470
78	40	469
79	40	469
80	41	468
81	41	467
82	42	467
83	42	466
84	43	465
85	43	464
86	44	464
87	44	463
88	45	462
89	45	462
90	46	461
91	46	460
92	47	460
93	47	459
94	48	459
95	48	458
96	49	457
97	49	457
98	50	456
99	50	455
100	51	456
101	51	456
102	52	455
103	52	455
104	53	454
105	53	453
106	54	453
107	54	452
108	55	452
109	55	451
110	56	453
111	57	453
112	57	452
113	58	452
114	58	451
115	59	451
116	59	450
117	60	450
118	60	449
119	61	449
120	61	448
121	62	448
122	62	449
123	63	448
124	64	448
125	64	447
126	65	446
127	65	446
128	66	445
129	66	445
130	67	444
131	67	444
132	68	443
133	68	442
134	69	442
135	69	441
136	70	441
137	70	440
138	71	439
139	71	439
140	72	439
141	72	439
142	73	438
143	73	437
144	74	438
145	74	438
146	75	437
147	75	437
148	76	436
149	77	436
150	77	435
151	77	435
152	78	434
153	79	434
154	79	433
155	80	432
156	80	433
157	81	432
158	81	432
159	82	432
160	82	431
161	83	431
162	83	431
163	84	430
164	85	430
165	85	430
166	86	430
167	86	429
168	87	429
169	87	429
170	88	429
171	89	429
172	89	428
173	90	428
174	90	427
175	91	427
176	91	426
177	92	426
178	92	425
179	93	425
180	93	424
181	94	424
182	94	423
183	95	422
184	95	422
185	96	421
186	96	421
187	97	422
188	98	422
189	98	421
190	99	421
191	100	420
192	100	420
193	101	419
194	101	419
195	102	418
196	102	419
197	103	418
198	103	417
199	104	417
200	104	416
201	105	416
202	105	415
203	106	415
204	106	414
205	107	413
206	107	413
207	108	413
208	109	412
209	109	412
210	110	411
211	110	411
212	111	410
213	111	410
214	112	409
215	112	409
216	113	408
217	113	408
218	114	408
219	114	407
220	115	407
221	115	406
222	116	405
223	116	405
224	117	404
225	117	403
226	118	403
227	118	402
228	119	402
229	119	401
230	120	400
231	120	400
232	121	399
233	121	399
234	122	398
235	122	397
236	123	397
237	124	398
238	124	397
239	125	397
240	125	396
241	126	396
242	126	395
243	127	394
244	127	394
245	128	393
246	128	393
247	129	392
248	129	391
249	130	391
250	131	390
251	131	390
252	132	389
253	132	389
254	133	388
255	133	388
256	134	387
257	134	386
258	135	386
259	135	385
260	136	385
261	136	384
262	137	384
263	137	383
264	138	383
265	138	382
266	139	381
267	139	381
268	140	381
269	140	380
270	141	380
271	141	379
272	142	379
273	142	378
274	143	378
275	143	377
276	144	377
277	144	376
278	145	375
279	145	375
280	146	374
281	146	374
282	147	373
283	147	372
284	148	372
285	148	371
286	149	371
287	149	370
288	150	369
289	150	369
290	151	368
291	151	368
292	152	367
293	152	367
294	153	366
295	153	366
296	154	365
297	154	364
298	155	364
299	155	363
300	156	363
301	157	362
302	157	362
303	158	362
304	158	361
305	159	361
306	159	360
307	160	359
308	160	359
309	161	358
310	161	358
311	162	357
312	162	357
313	163	356
314	163	355
315	164	355
316	164	354
317	165	354
318	165	353
319	166	353
320	166	352
321	167	352
322	167	351
323	168	350
324	168	350
325	169	349
326	169	349
327	170	348
328	170	348
329	171	347
330	171	346
331	172	346
332	172	345
333	173	345
334	173	344
335	174	344
336	174	343
337	175	343
338	175	342
339	176	342
340	176	341
341	177	341
342	177	340
343	178	340
344	178	339
345	179	338
346	179	338
347	180	337
348	180	337
349	181	336
350	181	336
351	182	335
352	182	335
353	183	334
354	183	334
355	184	333
356	184	332
357	185	332
358	185	331
359	186	331
360	186	330
361	187	330
362	187	329
363	188	329
364	188	328
365	189	328
366	189	327
367	190	326
368	190	326
369	191	325
370	191	325
371	192	324
372	192	324
373	193	323
374	193	323
375	194	322
376	194	322
377	195	321
378	195	321
379	196	320
380	196	320
381	197	319
382	198	319
383	198	318
384	199	318
385	200	318
386	200	318
387	201	317
388	201	317
389	202	316
390	202	316
391	203	315
392	203	314
393	204	314
394	204	313
395	205	313
396	206	312
397	206	312
398	207	311
399	207	311
400	208	310
401	208	310
402	209	309
403	209	309
404	210	308
405	210	308
406	211	307
407	211	306
408	212	306
409	212	305
410	213	305
411	213	304
412	214	304
413	214	303
414	215	303
415	215	302
416	216	302
417	216	301
418	217	301
419	217	300
420	218	300
421	218	299
422	219	299
423	219	298
424	220	298
425	220	297
426	221	296
427	221	296
428	222	295
429	222	295
430	223	294
431	223	294
432	224	293
433	224	293
434	225	292
435	225	291
436	226	291
437	226	290
438	227	290
439	227	289
440	228	289
441	228	288
442	229	288
443	229	287
444	230	287
445	230	286
446	231	286
447	231	285
448	232	285
449	233	284
450	233	284
451	234	284
452	234	283
453	235	283
454	235	282
455	236	282
456	236	281
457	237	280
458	237	280
459	238	279
460	238	279
461	239	278
462	239	278
463	240	277
464	240	277
465	241	276
466	241	276
467	242	275
468	243	275
469	243	274
470	244	274
471	244	273
472	245	273
473	245	272
474	246	271
475	246	271
476	247	270
477	247	270
478	248	269
479	248	269
480	249	268
481	249	268
482	250	267
483	250	267
484	251	267
485	252	266
486	252	266
487	253	265
488	253	265
489	254	264
490	254	263
491	255	263
492	255	262
493	256	262
494	256	261
495	257	261
496	257	260
497	258	260
498	258	259
499	259	259
500	259	258
501	260	258
502	260	257
503	261	257
504	261	256
505	262	255
506	262	255
507	263	254
508	263	254
509	264	253
510	264	253
511	265	253
512	265	252
513	266	251
514	266	251
515	267	250
516	267	250
517	268	249
518	268	249
519	269	248
520	270	248
521	270	247
522	271	247
523	271	246
524	271	246
525	272	245
526	272	244
527	273	244
528	273	243
529	274	243
530	274	242
531	275	242
532	275	241
533	276	241
534	276	240
535	277	240
536	277	239
537	278	239
538	278	238
539	279	238
540	280	237
541	280	237
542	280	236
543	281	235
544	282	235
545	282	234
546	283	234
547	283	233
548	284	233
549	284	232
550	285	232
551	285	231
552	286	231
553	286	230
554	287	230
555	287	229
556	288	229
557	288	228
558	289	228
559	289	227
560	290	227
561	290	226
562	291	226
563	291	225
564	292	224
565	292	224
566	293	223
567	293	223
568	294	222
569	294	222
570	295	221
571	295	221
572	296	220
573	296	220
574	297	219
575	297	219
576	298	218
577	298	218
578	299	217
579	299	216
580	300	216
581	300	215
582	301	215
583	301	214
584	302	214
585	302	213
586	303	213
587	303	212
588	304	212
589	304	211
590	305	211
591	305	210
592	306	210
593	306	209
594	307	209
595	307	208
596	308	207
597	308	207
598	309	206
599	309	206
600	310	205
601	310	205
602	311	204
603	311	204
604	312	203
605	312	203
606	313	202
607	313	202
608	313	201
609	314	201
610	314	200
611	315	200
612	315	199
613	316	198
614	316	198
615	317	197
616	317	197
617	318	196
618	318	196
619	319	195
620	320	195
621	320	194
622	321	194
623	321	193
624	322	193
625	322	192
626	322	192
627	323	191
628	323	191
629	324	190
630	324	189
631	325	189
632	325	188
633	326	188
634	326	187
635	327	187
636	327	186
637	328	186
638	328	185
639	329	185
640	330	184
641	330	184
642	331	183
643	331	183
644	332	182
645	332	182
646	333	181
647	333	181
648	334	180
649	334	180
650	335	179
651	335	179
652	336	178
653	336	178
654	337	177
655	337	177
656	338	176
657	338	176
658	339	175
659	339	175
660	340	174
661	340	174
662	341	173
663	341	172
664	342	172
665	342	171
666	343	171
667	343	170
668	344	170
669	344	169
670	345	169
671	345	168
672	346	168
673	346	167
674	347	167
675	347	166
676	348	166
677	348	165
678	349	165
679	349	164
680	350	164
681	350	163
682	351	163
683	351	162
684	352	161
685	352	161
686	353	160
687	353	160
688	354	159
689	354	159
690	355	158
691	355	158
692	356	157
693	356	157
694	357	156
695	357	156
696	358	155
697	358	155
698	359	154
699	359	154
700	360	153
701	360	153
702	361	152
703	361	152
704	362	151
705	362	151
706	363	150
707	364	150
708	364	149
709	365	149
710	365	148
711	366	148
712	366	147
713	367	147
714	367	146
715	368	145
716	368	145
717	369	144
718	369	144
719	369	143
720	370	143
721	370	142
722	371	142
723	371	141
724	372	141
725	372	140
726	373	140
727	373	139
728	374	139
729	374	138
730	375	138
731	375	137
732	376	137
733	376	136
734	377	136
735	377	135
736	378	135
737	378	134
738	379	134
739	379	133
740	380	132
741	380	132
742	381	131
743	381	131
744	382	130
745	382	130
746	383	129
747	383	129
748	384	128
749	385	128
750	386	128
751	386	127
752	387	127
753	388	126
754	388	126
755	389	125
756	389	125
757	390	124
758	390	124
759	391	123
760	392	123
761	392	122
762	393	122
763	393	121
764	394	121
765	395	120
766	395	120
767	396	119
768	396	119
769	397	118
770	398	118
771	398	117
772	399	117
773	400	116
774	400	116
775	401	115
776	401	115
777	402	114
778	402	114
779	403	113
780	403	113
781	404	112
782	404	112
783	405	111
784	405	111
785	406	110
786	406	110
787	407	109
788	407	109
789	408	108
790	408	108
791	409	107
792	409	107
793	410	106
794	411	105
795	411	105
796	412	104
797	412	104
798	413	103
799	413	103
800	414	102
801	414	102
802	415	101
803	416	101
804	416	100
805	417	100
806	418	100
807	418	99
808	419	99
809	420	98
810	420	98
811	421	97
812	422	97
813	423	96
814	423	96
815	424	95
816	424	95
817	425	94
818	425	94
819	426	93
820	427	93
821	427	92
822	428	92
823	428	91
824	429	91
825	429	90
826	430	90
827	430	89
828	431	88
829	431	88
830	432	87
831	433	87
832	433	86
833	434	86
834	434	85
835	435	85
836	435	84
837	436	84
838	437	83
839	437	83
840	438	82
841	439	82
842	439	81
843	440	81
844	441	80
845	441	80
846	442	79
847	442	79
848	443	78
849	443	78
850	444	77
851	445	77
852	445	76
853	446	76
854	446	75
855	447	75
856	448	74
857	448	74
858	449	73
859	450	73
860	451	72
861	451	72
862	452	71
863	453	71
864	453	70
865	454	70
866	455	69
867	455	69
868	456	68
869	456	68
870	457	67
871	457	67
872	458	66
873	458	66
874	459	65
875	460	65
876	460	64
877	461	64
878	461	63
879	462	63
880	462	62
881	463	61
882	463	61
883	464	60
884	465	60
885	465	59
886	466	59
887	466	58
888	467	58
889	467	57
890	468	57
891	469	56
892	469	56
893	470	55
894	471	55
895	472	54
896	473	54
897	474	53
898	475	53
899	476	52
900	477	52
901	477	51
902	478	51
903	479	50
904	479	50
905	480	49
906	480	49
907	481	48
908	482	48
909	483	47
910	483	47
911	484	46
912	486	46
913	487	45
