c_Metal_mM,SMILES
0.0004,CCCCCCCCCCCC
0.0004,CCCCCCCCCCCC
0.0004,CCCCCCCCCCCC
0.0004,CCCCCCCCCCCC
0.0004,CCCCCCCCCCCC
0.0004,CCCCCCCCCCCC
0.0004,CCCCCCCCCCCC
0.0004,CCCCCCCCCCCC
0.0004,CCCCCCCCCCCC
0.0004,CCCCCCCCCCCC
0.0004,CCCCCCCCCCCC
0.0004,CCCCCCCCCCCC
0.0004,CCCCCCCCCCCC
0.0004,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
1,CCCCCCCCCCCC
1,CCCCCCCCCCCC
1,CCCCCCCCCCCC
1,CCCCCCCCCCCC
1,CCCCCCCCCCCC
1,CCCCCCCCCCCC
1,CCCCCCCCCCCC
11,CCCCCCCCCCCC
11,CCCCCCCCCCCC
11,CCCCCCCCCCCC
11,CCCCCCCCCCCC
11,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
4.20133,CCCCCCCCCCCC
4.20133,CCCCCCCCCCCC
4.20133,CCCCCCCCCCCC
4.20133,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
0.403411,CCCCCCCCCCCC
0.337403,CCCCCCCCCCCC
0.238768,CCCCCCCCCCCC
0.164017,CCCCCCCCCCCC
0.0808129,CCCCCCCCCCCC
0.043154,CCCCCCCCCCCC
0.442471,CCCCCCCCCCCC
0.590906,CCCCCCCCCCCC
132.728,CCCCCCCCCCCC
0.771528,CCCCCCCCCCCC
0.169099,CCCCCCCCCCCC
0.0845494,CCCCCCCCCCCC
0.0424893,CCCCCCCCCCCC
234.87,CCCCCCCCCCCC
222.53,CCCCCCCCCCCC
212.881,CCCCCCCCCCCC
187.29,CCCCCCCCCCCC
0.67316,CCCCCCCCCCCC
173.286,CCCCCCCCCCCC
79.1731,CCCCCCCCCCCC
55.8431,CCCCCCCCCCCC
20.7144,CCCCCCCCCCCC
9.80066,CCCCCCCCCCCC
1.08928,CCCCCCCCCCCC
1.01631,CCCCCCCCCCCC
0.929396,CCCCCCCCCCCC
0.84099,CCCCCCCCCCCC
148.582,CCCCCCCCCCCC
0.1,CCCCCCCCCCCC
0.1,CCCCCCCCCCCC
0.1,CCCCCCCCCCCC
0.1,CCCCCCCCCCCC
0.1,CCCCCCCCCCCC
0.1,CCCCCCCCCCCC
0.1,CCCCCCCCCCCC
0.1,CCCCCCCCCCCC
0.1,CCCCCCCCCCCC
0.1,CCCCCCCCCCCC
0.253648,CCCCCCCCCCCC
0.1,CCCCCCCCCCCC
0.1,CCCCCCCCCCCC
0.1,CCCCCCCCCCCC
0.1,CCCCCCCCCCCC
0.338197,CCCCCCCCCCCC
119.5,CCCCCCCCCCCC
0.676824,CCCCCCCCCCCC
0.592275,CCCCCCCCCCCC
0.507296,CCCCCCCCCCCC
0.422747,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
4.2,CCCCCCCCCCCC
4.2,CCCCCCCCCCCC
4.2,CCCCCCCCCCCC
4.2,CCCCCCCCCCCC
4.2,CCCCCCCCCCCC
4.2,CCCCCCCCCCCC
4.2,CCCCCCCCCCCC
4.2,CCCCCCCCCCCC
4.2,CCCCCCCCCCCC
4.2,CCCCCCCCCCCC
4.2,CCCCCCCCCCCC
4.2,CCCCCCCCCCCC
1,CCCCCCCCCCCC
1,CCCCCCCCCCCC
1,CCCCCCCCCCCC
1,CCCCCCCCCCCC
1,CCCCCCCCCCCC
1,CCCCCCCC
1,CCCCCC
 ,CCCC(C)CC(C)C 
 ,CCCC(C)CC(C)C 
 ,CCCC(C)CC(C)C 
 ,CCCC(C)CC(C)C 
 ,CCCC(C)CC(C)C 
1,CC1=CC=CC=C1
50,CC1=CC=CC=C1
1,C1=CC=CC=C1
 ,C1=CC=CC=C1
 ,C1=CC=CC=C1
 ,C1=CC=CC=C1
 ,C1=CC=CC=C1
200,CCCCCCCCCCCC
200,CCCCCCCCCCCC
200,CCCCCCCCCCCC
200,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
0.01,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
 ,CCCCCCCCCCCC
