record_index,lig_SMI,Sol_SMI,c_lig,c_HNO3,c_Metal_mM,D,logD
0,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,CCCCCCCCCCCC,1.0,3.0,0.1,10.6,1.02530586526477
1,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,0.349463,2.0,0.01,0.266532839582669,-0.5742492738010503
2,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,0.01,200.0,7.88,0.8965262174895553
3,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,6.0,0.01,4.01,0.6031443726201823
4,CCCCCCN(CCCCCC)C(=O)C(C)C,CCCCCCCCCCCC,0.5,,,0.328369352644982,-0.4836373832160348
5,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCC(C)CC(C)C ,0.185537,5.0,,0.147872652135875,-0.8301121378671653
6,CCCCCCN(CCCCCC)C(=O)CCCCC,CCCCCCCCCCCC,1.0,1.00089,,1.36627206910794,0.135537190082656
7,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CC1=CC(=CC(=C1)C)C,1.0,3.0,479.339,1.3775565995406,0.139109451707618
8,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,4.0,0.1,12.426323074155,1.094342640722355
9,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,6.0,0.1,14.0262381073185,1.146941207143456
10,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCCCCCCCCCC,1.0,0.49359,0.00084,0.38589234670299,-0.4135338345864666
11,CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,CC1=CC=CC=C1,0.5,3.5,50.0,2.7,0.4313637641589874
12,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,6.0,0.1,14.0262381073185,1.146941207143456
13,CCCCCCCCCCCC(=O)N(CCCCCCCC)CCCCCCCC,CC1=CC=CC=C1,,1.0,,0.1926281425976,-0.7152802629955829
14,CCCCCCN(CCCCCC)C(=O)CCC,CCCCCCCCCCCC,0.5,2.0,,0.92,-0.03621217265444471
15,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.1,4.0,,4.19941123497941,0.6231884057971003
16,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,0.341244,3.5,,1.74760997604953,0.2424445151694238
17,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,2.0,497.489,0.485805994237411,-0.3135371308479524
18,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,6.0,0.01,4.01,0.6031443726201823
19,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,CCCCCCCCCCCC,1.0,6.0,0.01,11.9200026552095,1.076276352144377
20,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCC(C)CC(C)C ,1.0,4.57138,,12.4050871412358,1.093599819380088
21,CCCCCCN(CCCCCC)C(=O)CCC,CCCCCCCCCCCC,0.5,,,1.05230848115232,0.02214307063863684
22,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CC1=CC(=CC(=C1)C)C,1.0,3.0,84.4617,6.5737308622079,0.8178119194823461
23,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,4.0,0.1,12.426323074155,1.094342640722355
24,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCCCCCCCCCC,0.3,6.5,0.03,0.382785547877612,-0.4170444674351315
25,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCCCCCCCCCC,0.598469,2.0,,0.279583558296635,-0.5534883720930238
26,CCCCCCCCCCCC(=O)N(CC)CC,CC1=CC=CC=C1,0.25,,,1.9788453580449,0.2964118564742571
27,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,0.343446,8.5,,2.22357701213642,0.3470521755509489
28,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCC(C)CC(C)C ,1.42168,1.015,50.0,4.30052863121147,0.6335218433719506
29,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC(C)(C)C,CCCCCCCCCC(C)C,0.5,4.04427,,3.44247008535821,0.5368701749797076
30,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,CCCCCCCCCCCC,0.590499,2.0,0.01,3.45774612623407,0.5387931034482746
31,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCCCCCCCCCC,1.0,0.596994,0.00084,0.517947467923121,-0.2857142857142859
32,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,3.0,0.01,2.01,0.3031960574204888
33,CCCCC(CN(C(CCC)=O)CC(CCCC)CC)CC,CCCCCCCCCCCC,,4.0,,6.4159651080231,0.8072619934565568
34,CCCCCCCCN(CCCCCCCC)C(=O)CCC,CCCCCCCCCCCC,,5.0,,3.3727621178026,0.5279857113140554
35,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCC(C)CC(C)C ,0.245631,10.2,,0.161884988702696,-0.7907934207082596
36,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCC(C)CC(C)C ,1.0,0.133628,,0.0046293383622297,-2.334481075108565
37,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,0.769377,2.0,,0.490762499044253,-0.3091286307053941
38,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,CCCCCCCCCCCC,1.0,0.1,0.01,0.172645847687107,-0.7628438624246476
39,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,3.0,0.043154,7.75884132154498,0.889796870068615
40,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCCCCC,0.0487,3.0,,1.7722,0.2485127322208998
41,CCCCCCCCCCCC(=O)N(CC)CC,CC1=CC=CC=C1,,1.0,,0.0987951748021158,-1.005264266019541
42,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,,5.0,,3.50795759119509,0.5450543344028723
43,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,6.0,0.01,4.01,0.6031443726201823
44,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCC(C)CC(C)C ,1.15258,10.2,,2.28916276155477,0.3596766725050837
45,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,1.0,,0.200825274565268,-0.6971816306033263
46,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,3.0,0.590906,1.94128303738531,0.2880888597640699
47,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.5,6.0,100.0,8.01989150090415,0.9041684928630465
