CID,SMILES
63346669,CC(C)C(=O)CC1=NC(=NO1)C2=CC=CS2
80274163,CCC1=C(SC(=N1)N(CC)CC2=CC=CC(=N2)C)C(=O)O
120954916,CN1[C@H]2CCN(C[C@H]2NC1=O)CCOC3=C(C=C(C=C3)C#N)OC
129786653,C1CN=C=C=C=N1
176151036,CC1=C(C=CC(=C1)CC=C(C2=CC(=CC(=C2)Cl)C(F)(F)F)C(F)(F)F)C(=O)O
10468217,CC(=O)NC1=C(C=C(C(=C1)C(=O)OC)[N+](=O)[O-])OC
108607928,CCOC1=CC(=C(C=C1)/C(=C/2\C(N(C(=O)C2=O)C3=CC=C(C=C3)C(F)(F)F)C4=CC=CO4)/O)OCC
58619074,CC(C)(C)OC(=O)N1CCC(CC1)(CCCN(/C(=N/C(=O)OCC2=CC=CC=C2)/N)C(=O)OCC3=CC=CC=C3)C4CCCCC4
76949162,CC(C)CC(C)N(C)C(CC(=NO)N)C1=CC=CC=C1
162829047,CCCC=CC(=O)CCC1=CC(=C(C(=C1)OC2CCCC2)O)[C@@H]3[C@H]4C[C@@H](CCC4=C[C@H]([C@@H]3COC5CCCCC5)CCN=C(N)N)C
96679913,CC1=NC2=C(N1C(C)C)C=CC(=C2)C(=O)CNC(C)C
65122425,COC(=O)CS(=O)(=O)NCC1(CCCCCC1)O
119822625,CC(CNC)C(=O)NCCOC1=CC(=CC(=C1)OC)OC.Cl
19130404,CCOC1=C(C=CC(=C1)C2C3=C(C(=O)N2)OC4=CC=CC=C4C3=O)OCC=C
121921657,CN(CCC1=CC=CC=C1OC)CC2=CC=C(C=C2)C(=O)O
88723173,CC(Cl)(Cl)Cl.[Zn]
882464,CC1=CC(=CC(=C1)NC(=O)C(=CC2=CC=CO2)C3=CC=CC=C3)C
139399076,CC1C(=C(CCN1C(=O)C)NCC2CC2)C(C)N
123648768,C1CCC(C1)COC(=O)N2CCC(CC2)N3CC(C3)(CC#N)CC4=NC=C(C=C4)C5=C6C=CNC6=NC=N5
101619287,[Li+].[Li+].[Li+].[Li+].C1=CC2=C(C=C(C=C2S(=O)(=O)[O-])N=NC3=CC=C(C=C3)NC(=O)NC4=CC=C(C=C4)N=NC5=CC6=C(C=CC=C6S(=O)(=O)[O-])C(=C5)S(=O)(=O)[O-])C(=C1)S(=O)(=O)[O-]
167746196,C1CCCC(CC1)C(=O)NC2CCN(C2)CC3CCC(=O)NCC3
162788585,C=C1C=CN2C1=NOC2=N
30643073,CCC1=C2C(=CC=C1)C(=CN2)CNC[C@H](C3=CC=CS3)N4CCN(CC4)C
145331576,C/C(=C\C=C\C=C\C1=CC=C(C=C1)N(C)C2=CC3=CC=CC=C3C=C2)/NC4=CC5=CC=CC=C5C=C4
139819299,CC1CN(CCN1)C2=CC(=NC3=NC(=NN23)C4=CC=CC=C4)NC5CC5
45529939,CCOC(=O)N1CCC2=C(C1)SC(=C2C#N)NC(=O)C3=CC=NN3C
62519341,CC(C)COCC(CNC1(CCCC1)CO)O
81776834,CC(CC1=CC=CC=C1)NC(=O)C(CC=C)N
136514850,CC1(CC1)C(=O)NC2=CC=CC(=C2)C3=NC=CN3C
70297048,C1CC(CCC1N2CC3=CC=CC=C3CC2=O)(CN)C4=CC(=CC=C4)Cl
173760414,[B]([B][B]C)[B][B]C(C)C
10879753,CC1(OCCO1)/C=C/C2=CC=C(C=C2)C(F)(F)F
65713461,CC(C)C1CCCN1S(=O)(=O)C2=CC(=C(C=C2)Cl)N
3847110,CCC(C)C(C1=NC(=CO1)C(=O)NC2=CC=C(C=C2)C(C)C)N
55728307,CC(C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2)NC(=O)CCNC(=O)C3=CC=C(C=C3)Cl
137334576,CC1=CC(=C2C(=NN(C2=N1)C)C)C(=O)N3CCC(CC3)C(CO)O
137315782,CCOC(=O)C1=C(C2=NNC(=C2N1)C3CC3)C4=CC=C(C=C4)F
133575084,CC(C)CC1=NC(=CS1)C(=O)N2CCN(CC2)S(=O)(=O)C
62102555,CCN1CCC(CC1)N(C)CC2=C(C=C(C=C2)Cl)N
133876551,CC(C)NC(=O)CNC(=O)C1CC1C2=CC=CC=C2F
146123827,CN1CCC(CC1=O)C(=O)N2CCN(CC2)C(=O)CC3=CC=CC=C3
119349209,CC1=CC(=C2C=C(C=CC2=N1)Br)C(=O)N3CCC(CC3)C(=O)O
45166544,CCC1C(=O)NCCN1CC2=CC3=C(C=C2)OCCN(C3)CC4=C(C(=CC=C4)OC)OC
60514805,COCCN(CC1=CC(=CC=C1)F)CC2=C(C=C(C=C2)F)Cl
157418062,CC(C)(C)OC(=O)C[C@@H](CC(=O)NC1=NC(=O)N(C=C1)[C@H]2CC([C@H](O2)CO)O)C(=O)OC(C)(C)C
133717761,CC(C)C(=O)NCCNC(=O)CC1=CSC(=N1)C2=CC(=CC=C2)Br
16188869,C1CCN(CC1)CCC2=NN=C(S2)NC(=O)C3=CC=CC=C3.Cl
61894108,CC(C)(C(=O)N)NC(=O)N[C@@H](CCSC)C(=O)O
132689330,CCNC(=O)C(C)N(CC1=CC(=CC=C1)OC)C(=O)CN(C2=CC=CC=C2Cl)S(=O)(=O)C3=CC=C(C=C3)C
139363230,CC(C)(C)CNCCCCOCCOCCOCC(C)(C)C
18912424,CCCC(=O)NC1=CC(=CC=C1)SC(C)C(=O)NC2=NC3=C(S2)C=C(C=C3)OCC
163205612,CCOC(CCCCCCCCCCCCC/C=C/C=C)OCC
108135243,CC1CCC(CC1)CCNC2=NC(=NC(=C2N)C)Cl
4020041,CCONC(=O)CSC1=NC(=CC(=N1)Cl)N2CCN(C(C2)C)C(=O)C3CC3
162363512,CC1=CC=C(C=C1)CN=C(C2=CC=CC=C2)NC(=NC)C3=C4C5=C(CC=CC=C5)OC4=CC=C3
24835616,CC(C(C1=CC(=C(C=C1)Cl)Cl)O)N(C)C
16516318,CC(C)NC1=NN=C(S1)SCC2=CSC(=N2)C3=CC=C(C=C3)F
133876649,C1C(C1C(=O)NC2=C(C=C(C=C2)Br)Br)C3=CC=CC=C3F
140832086,CC(C)C1=C(C=CC(=C1)C2=CC=CC=C2)N3C4=CC=CC(=C4N=C3C5=C(C(=CC(=C5)C(C)(C)C)C(C)(C)C)O)C6=CC(=CC=C6)C7=NC=CC8=CC=CC=C87
55672959,CC1CC1C2=CC=C(O2)CN(C3CC3)C(=O)CSC4=NN=C(N4CC5=CC=CC=C5)C6=CC=CO6
30820455,CC(C)(C)[C@@H](CN1CCN(CC1)C)N
117882146,CN1C(=C(C=N1)C#CC2=CC3=C(S2)C(=C(S3)C4(CC4)C(=O)O)OC)NC(=O)OCC5=CC=CC=C5
60466353,C1CCN(C1)C(CNS(=O)(=O)C2=CC=C(C=C2)C(F)(F)F)C3=CC=CC=C3
9172142,CCC[NH+](CC1=NN=C(O1)C2=CC=CO2)CC(=O)NC3=CC=CC=C3C(=O)NC4CC4
82961228,CCOCCN(CCOCC)CC(C#N)N
174070141,CC1=CC(=CC(=C1C(C)C=C)/C=C/C2=CC(=C(C=C2)OCOCC[Si](C)(C)C)OC)OCOCC[Si](C)(C)C
129549600,COC[C@@H]1CN(CC12CCN(CC2)CC3=CC=CC=C3)CC4CCOCC4
41254274,C[C@@]1(C(=O)N(C(=O)N1)CC(=O)NC2=CC=C(C=C2)OC3=CC=CC=C3)C4=CC5=C(C=C4)OCCCO5
165854963,CC(CCN)C1=C(C(=CC=C1)[N+](=O)[O-])F
112681797,CC1(CC(CC(C1)(C)C)NCC2=CC=CO2)C
4872911,C1=CC=C(C=C1)C2=C(C=C3C(=C(SC3=N2)N)O)C(=O)NC4=CC=CC=C4
167732820,CC1CCCCC1(CN)NCC2=CC3=C(CN(C3=O)C4CCC(=O)NC4=O)C=C2
133057296,CC1=C(C=CN(C1OC)C)Cl
57849041,C1=CC=C2C(=C1)C(=CN2S(=O)(=O)C3=CC=C(C=C3)C(=O)NCC4=CC=C(C=C4)F)C5=CSC=C5
123767276,CCN(C)C(=C([N+](=C)C)Cl)Cl
138127703,CCCCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCC/C=C\CCCCCCCC(=O)NC(CO)C(CCCCCCCCCCC)O
15802388,CC1=C(C(=CC=C1)C)OCCCCOC2=C(C=CC=C2C)C
44080551,CC1=C2C(=CC(=C1OC)/C(=C/C(=O)NCC3=CC4=C(C=C3)OCO4)/C)C(=CO2)C5=CC=C(C=C5)Cl
55246059,CC1=C(C(=CC=C1)C(=O)NC2CCC(=O)NC2)N
164786335,C1=CC=C(C(=C1)C2=C3C(=C([C-]=C2)C4=CC=CC=N4)OC5=CC=CC=C5O3)C6=CC(=CC(=C6)CCC7=CC(=C([C-]=C7)C8=CC=CC=N8)F)CCC9=CC(=C([C-]=C9)C1=CC=CC=N1)F.[Ir+3]
3698066,CCOC(=O)C1=C(SC=C1C2=CC=C(C=C2)Br)NC(=O)CCCC(=O)NC3=C(C(=CS3)C4=CC=C(C=C4)Br)C(=O)OCC
116350573,C1CC1S(=O)(=O)NC2(CC2)CN
