descriptor,normalized_importance,correlation_cluster,retained_for_similarity
lig_Chi4v,0.18963101568045893,14,True
lig_MaxAbsPartialCharge,0.03202583278724031,5,True
lig_VSA_EState8,0.026571534660645175,20,True
lig_SMR_VSA4,0.022817270904649467,17,True
lig_MinAbsEStateIndex,0.022653304114273343,21,True
lig_BalabanJ,0.022550288661314186,19,True
lig_VSA_EState1,0.020413376457474024,15,True
lig_AvgIpc,0.018063224910964525,11,True
lig_Eccentricity,0.017061831485215957,1,True
lig_PMI1,0.016161074914563225,16,True
lig_PEOE_VSA7,0.015685679442155993,23,True
lig_RadiusOfGyration,0.015152053025581116,13,True
lig_SPS,0.015094743159442769,18,True
lig_VSA_EState2,0.015023331206833626,10,True
lig_InertialShapeFactor,0.01462677312194715,3,True
lig_Ipc,0.01420392659466131,7,True
lig_SpherocityIndex,0.014082926371405126,2,True
lig_NPR2,0.013939316429931304,4,True
lig_Kappa2,0.013833606660755001,12,True
lig_FractionCSP3,0.012511278543425234,6,True
lig_EState_VSA10,0.012419916729880225,8,True
lig_MaxAbsEStateIndex,0.01005316156445636,22,True
lig_MinPartialCharge,0.009929529423595734,9,True
lig_Chi4n,0.1669080262856354,14,False
lig_MaxPartialCharge,0.02946092756755021,5,False
lig_Chi2v,0.021275963703604298,14,False
lig_Chi3v,0.018276447489827468,14,False
lig_PEOE_VSA6,0.017658684460265,15,False
lig_MinEStateIndex,0.01636063312856687,21,False
lig_PEOE_VSA8,0.016231009789564214,15,False
lig_PMI3,0.014678888070747357,13,False
lig_Asphericity,0.013855397746426884,1,False
lig_Kappa3,0.013743286065851805,12,False
lig_VSA_EState5,0.013632935516271065,17,False
lig_NPR1,0.013436515859354107,1,False
lig_FpDensityMorgan1,0.01237334780702993,12,False
lig_BertzCT,0.012361452955068169,15,False
lig_MolLogP,0.011514136605243645,15,False
lig_PMI2,0.011366643048621016,13,False
lig_FpDensityMorgan3,0.011260853185703034,12,False
lig_NumRotatableBonds,0.01025230440859037,15,False
lig_VSA_EState7,0.007216783729622833,12,False
lig_qed,0.0036307657255862653,12,False
