tSNE1,tSNE2,group
-78.9945,59.185898,Development-set ligand
-78.80021,59.164616,Development-set ligand
-80.02623,56.6444,Development-set ligand
-80.950165,46.67622,Development-set ligand
-80.04137,46.923576,Development-set ligand
-81.489815,57.066315,Development-set ligand
-80.949585,46.67528,Development-set ligand
-79.870094,46.98338,Development-set ligand
-74.64612,55.277145,Development-set ligand
-81.46511,57.06886,Development-set ligand
-80.26951,56.83308,Development-set ligand
-79.75494,47.03319,Development-set ligand
-78.00065,58.616512,Development-set ligand
-81.54047,57.108067,Development-set ligand
-76.848,57.43827,Development-set ligand
-77.16508,59.615612,Development-set ligand
-77.02885,59.568523,Development-set ligand
-76.58986,57.257282,Development-set ligand
-79.505424,47.143417,Development-set ligand
-76.94789,59.4844,Development-set ligand
-76.42624,57.884216,Development-set ligand
-76.041176,56.270138,Development-set ligand
-75.31506,56.012913,Development-set ligand
-80.2414,51.33276,Development-set ligand
-80.240135,52.81161,Development-set ligand
-76.92148,57.559418,Development-set ligand
-76.42623,55.9204,Development-set ligand
-76.73536,57.478065,Development-set ligand
-76.415794,56.586235,Development-set ligand
-74.81469,55.461525,Development-set ligand
-77.099,59.61483,Development-set ligand
-77.721825,58.285534,Development-set ligand
-76.90095,55.39194,Development-set ligand
-77.60673,58.155804,Development-set ligand
-77.33862,57.79168,Development-set ligand
-75.00316,55.674046,Development-set ligand
-78.81717,59.14939,Development-set ligand
-78.59131,59.106327,Development-set ligand
-78.359535,59.20923,Development-set ligand
-78.519775,59.080185,Development-set ligand
-78.31371,59.314342,Development-set ligand
-77.02362,57.379402,Development-set ligand
44.887135,-82.64894,PubChem candidate
-40.098896,-24.509188,PubChem candidate
96.01204,21.184826,PubChem candidate
56.594463,-43.905766,PubChem candidate
-29.259344,-14.190303,PubChem candidate
25.350666,-34.41287,PubChem candidate
-88.8811,26.36043,PubChem candidate
11.064998,16.923193,PubChem candidate
53.009758,-21.701862,PubChem candidate
-46.530945,-13.490577,PubChem candidate
8.112209,-63.681126,PubChem candidate
-15.184028,117.95537,PubChem candidate
-9.317428,3.976926,PubChem candidate
-30.606586,-86.39116,PubChem candidate
-35.800205,38.760593,PubChem candidate
115.41259,-29.272549,PubChem candidate
21.01459,-65.08731,PubChem candidate
-51.705418,35.49616,PubChem candidate
3.2072759,-10.3715,PubChem candidate
96.16986,-18.073545,PubChem candidate
-17.712929,38.665356,PubChem candidate
7.0638905,-60.5477,PubChem candidate
6.315013,-76.96519,PubChem candidate
-3.7706406,20.061579,PubChem candidate
97.40857,-7.315196,PubChem candidate
-48.0554,-81.68922,PubChem candidate
100.79386,-36.242516,PubChem candidate
-104.61689,-11.005044,PubChem candidate
-94.294716,-0.24205989,PubChem candidate
-51.17258,79.01759,PubChem candidate
93.65508,-23.301147,PubChem candidate
-15.804806,-32.399937,PubChem candidate
6.71666,-104.96152,PubChem candidate
67.16478,1.8672905,PubChem candidate
63.87076,-67.20334,PubChem candidate
-72.90554,-58.37477,PubChem candidate
59.514236,-51.140114,PubChem candidate
-11.361118,-20.353703,PubChem candidate
69.853645,3.0034678,PubChem candidate
-29.433224,-44.209328,PubChem candidate
-71.23479,-50.48295,PubChem candidate
43.778538,-53.33468,PubChem candidate
-11.766453,-16.204308,PubChem candidate
24.831348,27.281769,PubChem candidate
65.78776,-0.3213786,PubChem candidate
-124.37986,-9.149668,PubChem candidate
-0.6011646,6.719441,PubChem candidate
-4.9124193,-100.79365,PubChem candidate
-43.238052,-78.57687,PubChem candidate
-41.249012,-11.858386,PubChem candidate
85.073906,57.251144,PubChem candidate
-68.340706,11.245301,PubChem candidate
-32.55442,21.957275,PubChem candidate
-77.40413,-57.16886,PubChem candidate
-42.465042,-69.19293,PubChem candidate
-14.537709,-18.358273,PubChem candidate
-37.21318,-14.074746,PubChem candidate
-18.2077,-21.839987,PubChem candidate
-69.142944,-47.9253,PubChem candidate
-30.168245,24.831358,PubChem candidate
-33.78845,-60.485367,PubChem candidate
-106.74492,-10.239521,PubChem candidate
44.727013,-87.40182,PubChem candidate
69.64778,-14.415053,PubChem candidate
-34.58179,-96.96717,PubChem candidate
66.6753,-74.51309,PubChem candidate
-34.591503,-35.849716,PubChem candidate
49.539925,-5.4754076,PubChem candidate
-68.57831,-63.544292,PubChem candidate
-52.14243,-36.824425,PubChem candidate
-78.62041,54.85527,PubChem candidate
11.607085,112.034,PubChem candidate
-111.0659,-29.035688,PubChem candidate
-46.85246,-36.180317,PubChem candidate
46.372902,27.983635,PubChem candidate
-101.50253,13.007748,PubChem candidate
-101.71443,-11.95757,PubChem candidate
64.837975,-80.41006,PubChem candidate
-11.622315,-104.35319,PubChem candidate
-4.3821926,-105.27254,PubChem candidate
-10.908524,-16.547424,PubChem candidate
8.962927,22.74597,PubChem candidate
-83.79814,5.360258,PubChem candidate
4.269991,17.96751,PubChem candidate
-28.043608,-11.648812,PubChem candidate
-109.7767,-0.05538187,PubChem candidate
-96.99447,-40.610687,PubChem candidate
-59.164825,-57.889244,PubChem candidate
43.555298,-64.44083,PubChem candidate
-94.34532,0.057176027,PubChem candidate
47.717136,-7.742832,PubChem candidate
-70.16811,-55.6109,PubChem candidate
-66.44303,0.16756475,PubChem candidate
-26.507076,-97.07549,PubChem candidate
-21.31751,-25.9052,PubChem candidate
-13.034672,19.08359,PubChem candidate
6.9477086,-11.116857,PubChem candidate
58.93178,-51.824787,PubChem candidate
-44.510864,-18.228424,PubChem candidate
9.890972,109.04036,PubChem candidate
-71.05796,3.9906452,PubChem candidate
-73.23647,-9.795135,PubChem candidate
-7.202703,75.12947,PubChem candidate
-8.3201885,-11.49307,PubChem candidate
-31.105646,-39.263893,PubChem candidate
26.814262,33.07593,PubChem candidate
-45.566196,-26.590336,PubChem candidate
-32.243587,-97.29637,PubChem candidate
